년도	월	약효분류코드	약효분류명	수량	사용금액
2018	4	235	최토제,진토제	10,240	5,332
2018	4	236	이담제	12,713	2,576
2018	4	237	정장제	34,368	3,898
2018	4	238	하제,완장제	2,166	384
2018	4	239	기타의 소화기관용약	212,747	24,510
2018	4	241	뇌하수체호르몬제	2,347	5,531
2018	4	243	갑상선,부갑상선호르몬제	35,687	2,591
2018	4	244	단백동화스테로이드제	5	3
2018	4	245	부신호르몬제	52,084	4,959
2018	4	246	남성호르몬제	213	98
2018	4	247	난포호르몬 및 황체호르몬제	8,928	4,400
2018	4	249	기타의 호르몬제(항호르몬제를 포함)	705	14,330
2018	4	252	자궁수축제	206	91
2018	4	255	비뇨생식기관용제(성병예방제 포함)	3,908	1,410
2018	4	256	치질용제	35	97
2018	4	259	기타의 비뇨생식기관 및 항문용약	61,780	37,447
2018	4	261	외피용살균소독제	1	1
2018	4	262	창상보호제	0	0
2018	4	263	화농성질환용제	52	146
2018	4	264	진통·진양·수렴·소염제	2,883	9,526
2018	4	265	기생성 피부질환용제	600	2,887
2018	4	266	피부연화제(부식제를 포함)	54	195
2018	4	267	모발용제(발모,탈모,염모,양모제)	0	0
2018	4	269	기타의 외피용약	871	3,333
2018	4	311	비타민 A 및 D제	5,971	2,868
2018	4	312	비타민 B₁제	4,992	191
2018	4	313	비타민 B제(비타민 B₁을 제외)	10,780	313
2018	4	314	비타민 C 및 P제	217	53
2018	4	315	비타민 E 및 K제	80	18
2018	4	316	혼합비타민제(비타민 A D 혼합제를 제외)	2,145	510
2018	4	321	칼슘제	30,617	2,364
2018	4	322	무기질제제	12,538	1,801
2018	4	323	당류제	1,751	2,225
2018	4	325	단백아미노산제제	2,301	13,385
2018	4	326	장기제제	101	85
2018	4	329	기타의 자양강장변질제	43	631
2018	4	331	혈액대용제	11,273	11,333
2018	4	332	지혈제	1,289	3,443
2018	4	333	혈액응고저지제	10,308	13,085
2018	4	339	기타의 혈액 및 체액용약	53,857	39,181
2018	4	341	인공신장관류용제	20,525	11,350
2018	4	349	기타의 인공관류용제	878	9,719
