년도	월	약효분류코드	약효분류명	수량	사용금액	대분류코드	중분류코드	대분류	중분류
2018	3	221	호흡촉진제	98	251	200	220	개개의 기관계용 의약품	호흡기관용약
2018	3	222	진해거담제	440461	35492	200	220	개개의 기관계용 의약품	호흡기관용약
2018	3	223	함소흡입제	453867	3589	200	220	개개의 기관계용 의약품	호흡기관용약
2018	3	229	기타의 호흡기관용약	50814	8629	200	220	개개의 기관계용 의약품	호흡기관용약
2018	3	231	치과구강용약	810	800	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	232	소화성궤양용제	356093	92710	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	233	건위소화제	95	2	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	234	제산제	88857	3592	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	235	최토제,진토제	10463	5254	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	236	이담제	13284	2695	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	237	정장제	34700	3745	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	238	하제,완장제	2397	446	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	239	기타의 소화기관용약	218887	25130	200	230	개개의 기관계용 의약품	소화기관용약
2018	3	241	뇌하수체호르몬제	2406	5345	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	3	243	갑상선,부갑상선호르몬제	37169	3277	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	3	244	단백동화스테로이드제	1	1	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	3	245	부신호르몬제	48071	4600	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	3	246	남성호르몬제	225	104	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	3	247	난포호르몬 및 황체호르몬제	9399	4644	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
